fas_id,course_code,department,semester,rating,hours_per_week,num_students,num_sections
108359,GENED 1017,GENED,2023Fall,3.51,5.31,56,2
108389,FRSEMR 21G,FYSEMR,2023Spring,4.43,3.43,7,1
108389,FYSEMR 21G,FYSEMR,2024Spring,4.5,1.86,10,1
108397,CHNSE 166R,CHNSE,2024Spring,4.8,6.0,17,2
108397,CHNSE 166R,CHNSE,2025Spring,4.56,7.56,10,2
108398,GENED 1020,GENED,2025Spring,3.87,4.44,263,1
108405,GENED 1116,GENED,2023Fall,4.56,4.34,149,1
108419,MUSIC 181R,MUSIC,2022Fall,4.88,4.71,11,1
108419,MUSIC 181R,MUSIC,2023Fall,4.5,3.57,9,1
108419,MUSIC 181R,MUSIC,2024Fall,5.0,5.57,8,1
108465,PHYSICS 143A,PHYSICS,2022Fall,4.62,8.95,48,1
108465,PHYSICS 143A,PHYSICS,2023Spring,4.57,8.98,61,1
108465,PHYSICS 143A,PHYSICS,2023Fall,4.3,7.96,34,1
108465,PHYSICS 143A,PHYSICS,2024Spring,4.24,7.81,73,1
108465,PHYSICS 143A,PHYSICS,2024Fall,4.18,9.12,24,1
108465,PHYSICS 143A,PHYSICS,2025Spring,3.94,10.87,38,1
108472,EAFM 202,EAFM,2023Fall,4.56,6.22,13,1
108482,GENED 1130,GENED,2022Fall,4.16,3.78,59,1
108482,GENED 1130,GENED,2025Spring,3.98,4.87,59,1
108490,PSY 1702,PSY,2024Spring,4.59,3.0,55,1
108490,PSY 1702,PSY,2025Spring,4.5,3.44,47,1
108530,HIST 1511,HIST,2024Spring,4.13,6.5,12,1
108531,HIST 1913,HIST,2024Spring,4.38,7.75,10,1
108533,HIST 1513,HIST,2023Spring,4.18,6.0,22,1
108533,HIST 1513,HIST,2025Spring,4.65,6.5,19,1
108562,FRSEMR 43J,FYSEMR,2022Fall,4.96,4.92,12,2
108562,FYSEMR 43J,FYSEMR,2023Fall,4.67,3.44,12,2
108564,FYSEMR 22T,FYSEMR,2025Spring,5.0,1.4,10,1
108569,WOMGEN 1234,WOMGEN,2024Spring,4.8,5.3,12,1
108573,STAT 242,STAT,2023Fall,3.76,8.47,68,1
108573,STAT 242,STAT,2024Fall,3.77,10.32,32,1
108580,GENED 1012,GENED,2022Fall,4.04,6.07,71,1
108583,CLASARCH 10,CLASARCH,2022Fall,5.0,3.33,6,1
108635,GREEK 120,GREEK,2024Spring,4.75,2.63,10,1
108649,AFVS 35R,AFVS,2022Fall,3.88,6.25,12,1
108649,AFVS 35R,AFVS,2024Spring,4.63,8.25,12,1
108657,AFVS 108,AFVS,2023Spring,4.25,4.75,14,1
108693,CLASARCH 11,CLASARCH,2023Spring,4.11,2.65,242,1
108693,CLASARCH 11,CLASARCH,2025Spring,4.64,4.53,77,1
108716,FRENCH 136,FRENCH,2022Fall,4.64,6.11,14,1
108750,E-PSCI 162,E-PSCI,2023Spring,4.13,4.75,11,1
108752,SPANSH 194,SPANSH,2022Fall,4.0,3.56,25,1
108752,SPANSH 194,SPANSH,2024Spring,4.28,4.12,23,1
108761,SOC-STD 98NQ,SOC-STD,2022Fall,4.89,7.11,10,1
108761,SOC-STD 98NQ,SOC-STD,2024Fall,5.0,7.0,10,1
108772,ITAL 162,ITAL,2023Fall,4.17,5.5,7,1
